Data,Event Number
0.0,1.21438189871
0.0,5.6223063909
0.0,11.7721552218
4.0,18.3641122487
1.0,27.2179448025
9.0,38.1024954301
13.0,51.1988274382
31.0,64.9188022912
26.0,80.0303005392
16.0,97.5041895267
13.0,120.846150348
13.0,145.787912609
9.0,152.757657955
15.0,131.592427956
1.0,100.089523084
8.0,73.6320960787
13.0,54.6023174373
4.0,39.4802816106
9.0,26.4786137855
5.0,17.6374855267
3.0,12.199923411
3.0,9.28609970197
4.0,7.64249627776
4.0,6.21910484803
2.0,5.24044991808
4.0,4.65509305945
5.0,4.07045634444
2.0,3.5111861835
3.0,3.2556914782
1.0,2.80925348854
4.0,2.61069662677
2.0,2.391125442
5.0,2.17705578514
3.0,1.99959170446
5.0,1.92357212631
1.0,1.75687066904
4.0,1.64994091483
2.0,1.56213126012
7.0,1.52333637083
5.0,1.41260525785
2.0,1.38441627105
3.0,1.27925976851
2.0,1.20698624036
3.0,1.16664926693
2.0,1.15796934371
0.0,1.12386359917
3.0,1.07388241045
1.0,1.00892837714
4.0,1.00460650507
2.0,0.982700050797
4.0,1.00503534247
2.0,0.936589682
4.0,0.930199929174
2.0,0.943187831628
5.0,0.936190159949
3.0,0.892216658427
3.0,0.9120788773
3.0,0.911334278875
1.0,0.891534042951
3.0,0.914602309545
6.0,0.906749460338
2.0,0.897504218006
1.0,0.903801328398
2.0,0.891902508429
3.0,0.876888212661
1.0,0.871174903263
3.0,0.88346684981
6.0,0.870922223868
3.0,0.876190631977
4.0,0.894713568673
2.0,0.859153941501
3.0,0.891434354695
4.0,0.887269827467
3.0,0.894383751423
8.0,0.901563092399
1.0,0.898895113582
3.0,0.906649078063
3.0,0.91678197739
3.0,0.917355506695
2.0,0.921224756455
4.0,0.910374528386
2.0,0.914954782264
7.0,0.921574401191
7.0,0.911906441708
4.0,0.888837502583
10.0,0.890498271689
1.0,0.890262360468
4.0,0.856216027784
4.0,0.842903600165
7.0,0.821111555664
4.0,0.812439271251
2.0,0.7948104019
5.0,0.782643325192
5.0,0.75665925628
3.0,0.74517757408
3.0,0.709482413371
4.0,0.701095690516
4.0,0.676372658272
6.0,0.663400542469
4.0,0.635528000453
0.0,0.612945705484
2.0,0.592194094323
2.0,0.554118506124
0.0,0.535397252997
4.0,0.513405397556
3.0,0.475550072342
2.0,0.478169453844
6.0,0.450248402882
2.0,0.423958408264
1.0,0.396119604371
1.0,0.38262377716
2.0,0.358318659609
0.0,0.353203615209
0.0,0.341468195593
0.0,0.316178928084
4.0,0.304193517615
0.0,0.28289478438
3.0,0.291984475583
0.0,0.259366960872
1.0,0.259872926112
1.0,0.243090082517
2.0,0.237369983168
2.0,0.224301188774
1.0,0.22206897843
1.0,0.210288550999
2.0,0.203963805445
0.0,0.194529535927
1.0,0.186922195742
1.0,0.183464234277
0.0,0.17720324497
1.0,0.166013501091
1.0,0.170406326716
1.0,0.15991562703
0.0,0.151693315186
1.0,0.148686898953
1.0,0.149625547008
1.0,0.13757584833
1.0,0.130898459998
0.0,0.13002452752
0.0,0.124036472345
0.0,0.124423287488
1.0,0.119853438977
1.0,0.112729739252
0.0,0.106659326355
1.0,0.109355478684
0.0,0.105483092632
1.0,0.102380629169
2.0,0.0952797267604
1.0,0.0932782483241
2.0,0.0905111246823
4.0,0.0882012426873
1.0,0.0870218855564
2.0,0.0824934355319
2.0,0.084216365135
1.0,0.07895645552
0.0,0.0752544019171
0.0,0.0686369944288
1.0,0.0716207763175
2.0,0.0641889330869
0.0,0.0674523167026
0.0,0.0656419342834
0.0,0.0629757401268
0.0,0.0637970495762
0.0,0.0611391483601
1.0,0.0539186199799
1.0,0.056833038257
3.0,0.0530310244833
0.0,0.0507265454768
0.0,0.0500158514739
0.0,0.0532711077435
1.0,0.0446348303751
1.0,0.0473081809505
0.0,0.0433960375129
0.0,0.0442267468088
0.0,0.0425593353701
0.0,0.0420342477878
0.0,0.0410722040189
0.0,0.0372925845963
0.0,0.0328750332658
1.0,0.0332016617087
0.0,0.0363884627567
0.0,0.0323325663779
0.0,0.0328361738732
0.0,0.0286877440569
0.0,0.029432911123
0.0,0.0291388277113
1.0,0.02856541834
0.0,0.02825330436
0.0,0.0251153360245
1.0,0.0247205177147
0.0,0.0241184185072
0.0,0.0267075137676
0.0,0.021739934168
0.0,0.0234916855275
0.0,0.0200741969821
1.0,0.0239271204122
0.0,0.0225519677091
0.0,0.0196098034056
0.0,0.0189102115199
0.0,0.0201501850634
